type,title,abstract,journal,author,year,keywords,filename,id,sens_acc,sens_gyr,sens_gps,sens_mic,sens_cam,perv_pill,perv_ecg,perv_wearable,ux_gui,ux_gesture,ux_voice,ux_text,ux_back,media_text,media_image,media_audio,media_video,media_anim,feat_use,feat_promp,feat_soc,feat_hcp,feat_learn,feat_prog,feat_ca,feat_ass,feat_vr,feat_ar,feat_pers,feat_game,anal_ml,anal_beh,anal_act,anal_sp,os_ios,os_and,app_name,geo_loc,md,md_id,md_desc,md_mul,md_sub,fmw_cbt,fmw_hum,fmw_sys,fmw_psy,fmw_wav,fmw_tra,fmw_pos,fmw_other,fmw_nk,val_ed,val_res,val_n,val_n2,val_ec,val_done,val_type,val_edrct,geo_ctry
Article,A Guided Online and Mobile Self-Help Program for Individuals With Eating Disorders: An Iterative Engagement and Usability Study,"BACKGROUND: Numerous digital health interventions have been developed for mental health promotion and intervention, including eating disorders. Efficacy of many interventions has been evaluated, yet knowledge about reasons for dropout and poor adherence is scarce. Most digital health intervention studies lack appropriate research design and methods to investigate individual engagement issues. User engagement and program usability are inextricably linked, making usability studies vital in understanding and improving engagement. OBJECTIVE: The aim of this study was to explore engagement and corresponding usability issues of the Healthy Body Image Program-a guided online intervention for individuals with body image concerns or eating disorders. The secondary aim was to demonstrate the value of usability research in order to investigate engagement. METHODS: We conducted an iterative usability study based on a mixed-methods approach, combining cognitive and semistructured interviews as well as questionnaires, prior to program launch. Two separate rounds of usability studies were completed, testing a total of 9 potential users. Thematic analysis and descriptive statistics were used to analyze the think-aloud tasks, interviews, and questionnaires. RESULTS: Participants were satisfied with the overall usability of the program. The average usability score was 77.5/100 for the first test round and improved to 83.1/100 after applying modifications for the second iteration. The analysis of the qualitative data revealed five central themes: layout, navigation, content, support, and engagement conditions. The first three themes highlight usability aspects of the program, while the latter two highlight engagement issues. An easy-to-use format, clear wording, the nature of guidance, and opportunity for interactivity were important issues related to usability. The coach support, time investment, and severity of users' symptoms, the program's features and effectiveness, trust, anonymity, and affordability were relevant to engagement. CONCLUSIONS: This study identified salient usability and engagement features associated with participant motivation to use the Healthy Body Image Program and ultimately helped improve the program prior to its implementation. This research demonstrates that improvements in usability and engagement can be achieved by testing and adjusting intervention design and content prior to program launch. The results are consistent with related research and reinforce the need for further research to identify usage patterns and effective means for reducing dropout. Digital health research should include usability studies prior to efficacy trials to help create more user-friendly programs that have a higher likelihood of {""}real-world{""} adoption.",Journal of medical Internet research,M. Nitsch and C.N. Dimopoulos and E. Flaschberger and K. Saffran and J.F. Kruger and L. Garlock and D.E. Wilfley and C.B. Taylor and M. Jones,2016,"human, mobile application, telemedicine, questionnaire, Internet, Telemedicine, psychology, interview, Humans, Surveys and Questionnaires, procedures, Mobile Applications, self care, motivation, Motivation, health promotion, Health Promotion, Self Care, Interviews as Topic, Feeding and Eating Disorders, body image, Body Image",007 - A Guided Online and Mobile Self-Help,007,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NOT KNOWN,YES,YES,YES,NOT KNOWN,NOT KNOWN,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,Student Bodies–Eating Disorders (SB-ED),"United States of America, San Francisco",10-Feeding and eating disorders,10,Feeding and eating disorders,NA,NA,YES,NO,NO,NO,NO,NO,NO,YES,NO,ITERATIVE USABILITY STUDY,"Participants were satisfied with the overall usability of the program. The average usability score was 77.5/100 for the
first test round and improved to 83.1/100 after applying modifications for the second iteration. The analysis of the qualitative data revealed five central themes: layout, navigation, content, support, and engagement conditions. The first three themes highlight usability aspects of the program, while the latter two highlight engagement issues. An easy-to-use format, clear wording, the nature of guidance, and opportunity for interactivity were important issues related to usability. The coach support, time investment, and severity of users’ symptoms, the program’s features and effectiveness, trust, anonymity, and affordability were relevant to engagement.",9,NA,Intervention condition (experimental); There is not any control group.,YES,USABILITY/UX,NO,United States of America
Article,A pilot study of the acceptability and usability of a smartphone application intervention for suicidal adolescents and their parents.,"Interconnectedness through technology presents both challenges and opportunities for suicide prevention and intervention with adolescents and families. The time following discharge from acute care facilities represents a critical period of suicide risk for adolescents, which could be buffered by a technological intervention they could use post-discharge. Crisis Care is a smartphone application intervention developed specifically for suicidal adolescents and their parents to use during this period of increased risk. A web-based prototype of Crisis Care was pilot tested with 20 adolescent-parent dyads. Results demonstrated acceptability and usability, suggesting the utility of technological interventions, such as Crisis Care, as an adjunct to treatment for suicidal adolescents and their parents following discharge from acute care settings. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",Archives of Suicide Research,Kimberly H. McManama O'Brien and Mary LeCloux and Abigail Ross and Christina Gironda and Elizabeth A. Wharff,2017,"Parents, *At Risk Populations, *Intervention, *Psychiatric Hospital Discharge, *Suicide Prevention, *Telemedicine, Adolescent Characteristics, Adolescent Psychopathology, Cellular Phones, Human Factors Engineering",012 - A Pilot Study of the Acceptability,012,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NOT KNOWN,YES,YES,YES,YES,NOT KNOWN,YES,NOT KNOWN,NO,YES,YES,NOT KNOWN,NO,NOT KNOWN,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NA,United States of America,25-Suicidal behavior disorder/nonsuicidal self-injury,25,Suicidal behavior disorder/nonsuicidal self-injury,NA,Suicide,YES,NO,NO,NO,NO,NO,YES,NO,NO,PILOT STUDY,"Results demonstrated acceptability and usability, suggesting the utility of technological interventions, such as Crisis Care, as an adjunct to treatment for suicidal adolescents and their parents following discharge from acute care settings.",20,20 parent-adolescent dyads,Intervention condition (experimental); There is not any control group.,YES,USABILITY/UX,NO,United States of America
Article,A Pilot Study to Examine the Feasibility and Potential Effectiveness of Using Smartphones to Provide Recovery Support for Adolescents,"Smartphone applications can potentially provide recovery monitoring and support in real-time, real-life contexts. Study aims included determining feasibility of (a) adolescents completing ecological momentary assessments (EMAs) and utilizing phone-based ecological momentary interventions (EMIs); and (b) using EMA and EMI data to predict substance use in the subsequent week. Methods: Twenty-nine adolescents were recruited at discharge from residential treatment, regardless of their discharge status or length of stay. During the 6-week pilot, youth were prompted to complete an EMA at 6 random times per day and were provided access to a suite of recovery support EMI. Youth completed 87\% of the 5580 EMAs. Based on use in the next 7 days, EMA observations were classified into 3 risk groups: {""}Current Use{""} in the past 30 minutes (3\% of observations), {""}Unrecognized Risk{""} (42\%), or {""}Recognized Risk{""} (55\%). All youth had observations in 2 or more risk groups and 38\% in all 3. Youth accessed an EMI on average 162 times each week. Results: Participants were 31\% female, 48\% African American, 21\% Caucasian, 7\% Hispanic, and 24\% Mixed/Other; average age was 16.6 years. During the 90 days prior to entering treatment, youth reported using alcohol (38\%), marijuana (41\%), and other drugs (7\%). When compared with the {""}Recognized Risk{""} group's use in the following week (31\%), both the {""}Unrecognized Risk{""} (50\%, odds ratio [OR] = 2.08) and {""}Current Use{""} (96\%, OR = 50.30) groups reported significantly higher rates of use in the next week. When an EMI was accessed 2 or more times within the hour following an EMA, the rate of using during the next week was significantly lower than when EMIs were not accessed (32\% vs. 43\%, OR = 0.62). Conclusions: Results demonstrate the feasibility of using smartphones for recovery monitoring and support with adolescents, with potential to reduce use. 2015 Taylor and Francis Group, LLC.",Substance Abuse,M.L. Dennis and C.K. Scott and R.R. Funk and L. Nicholson,2015,"female, human, male, mobile application, pilot study, ecological momentary assessment, feasibility study, adolescent, Adolescent, Female, Humans, Male, procedures, smartphone, Mobile Applications, Pilot Projects, Feasibility Studies, Computer-Assisted, computer assisted therapy, Therapy, Smartphone, Substance-Related Disorders, Ecological Momentary Assessment",013 - A Pilot Study to Examine the Feasibility and Potential,013,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NO,NO,NO,YES,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,YES,YES,YES,YES,NOT KNOWN,NOT KNOWN,NOT KNOWN,YES,NOT KNOWN,YES,YES,NOT KNOWN,YES,NOT KNOWN,NOT KNOWN,NOT KNOWN,YES,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,YES,YES,A-CHESS,United States of America,16-Substance-related and addictive disorders,16,Substance-related and addictive disorders,NA,Alcohol; marijuana; other drugs,YES,NO,NO,NO,NO,NO,NO,YES,NO,PILOT STUDY,"When compared to the “Recognized Risk” group’s use in the following week (31%), both the “Unrecognized Risk” (50%, OR=2.08) and “Current Use” (96%, OR=50.30) groups reported significantly higher rates of use in the next week. When an EMI was accessed 2 or more times within the hour following an EMA, the rate of using during the next week was significantly lower than when EMIs were not accessed (32% vs. 43%, OR=0.62).",29,NA,Intervention condition (experimental); There is not any control group.,YES,EFFECT AND USABILITY/UX,NO,United States of America
Article,A randomized controlled study of exposure therapy as aftercare for alcohol use disorder: Study protocol,"Background: It is well documented that individuals with Alcohol Use Disorder (AUD) respond well during evidence-based psychological treatment, but also that a large proportion relapses when discharged from treatment and confronted with alcohol in real life. Cue Exposure Treatment (CET) focuses on exposing individuals to alcohol cues in order to reduce cravings as well as the likelihood of relapse. The aims of the study are: 1) to investigate whether CET aftercare delivered via a smartphone or in group sessions increases the effect of Cognitive Behavioural Treatment in groups of alcohol dependent individuals; 2) to investigate whether CET as a smartphone application is as or more effective than CET group therapy, and 3) to investigate whether CET as a smartphone application is more cost-effective than CET group aftercare and Aftercare as Usual. Design and methods: The study will be implemented as an investigator-blinded randomized controlled trial. A total of 300 consecutively enrolled alcohol use disorder individuals recruited from an alcohol outpatient clinic will be randomized into one of the three following aftercare groups after concluding primary treatment: (1) CET as a smartphone application; (2) CET as group therapy, and (3) Aftercare as Usual. It is hypothesized that the two experimental groups will achieve better treatment outcomes compared to the control group (3). Discussion: Individuals in the CET groups are given the opportunity to practise coping strategies during exposure to alcohol stimuli before being unavoidably confronted with alcohol and associated stimuli in real life. Thus, CET may help prevent patients from relapsing after concluding treatment, and in the long term. Moreover, the CET application has the potential to improve AUD treatment and continuing care by offering psychological treatment whenever and wherever the patient finds it convenient. Trial registration: ClinicalTrials.gov ID: NCT02298751Registration date: 6 November 2014. 2016 Mellentin et al.",BMC Psychiatry,A.I. Mellentin and B. Nielsen and A.S. Nielsen and F. Yu and E. Stenager,2016,"adult, Article, controlled study, human, mobile application, cost effectiveness analysis, health care delivery, health care planning, randomized controlled trial, major clinical study, treatment duration, craving, disease severity, treatment outcome, psychology, Adult, Humans, cognitive therapy, Cognitive Therapy, procedures, smartphone, Treatment Outcome, alcoholism, alcohol consumption, self concept, Psychological, Adaptation, coping behavior, methodology, Research Design, association, Craving, Cues, aftercare, Aftercare, group therapy, implosive therapy, Implosive Therapy, withdrawal syndrome, alcohol use disorder, Alcohol-Related Disorders, Cue Exposure Treatment",014 - A randomized controlled study of exposure,014,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,YES,NOT KNOWN,YES,NOT KNOWN,NOT KNOWN,YES,NO,YES,YES,NOT KNOWN,NO,NOT KNOWN,NO,NO,YES,NO,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,CET Application,Denmark,16-Substance-related and addictive disorders,16,Substance-related and addictive disorders,NA,Alcohol use disorder,YES,NO,NO,NO,NO,NO,NO,NO,NO,RANDOMIZED CONTROLLED TRIAL STUDY PROTOCOL,NA,300,NA,"3  conditions: 1) CET as a smartphone application (exprimental condition, N=100); 2) CET as group therapy (experimental condition, N=100); 3) Aftercare as Usual (control group, N=100).",NO,NO ASSESSMENT,NO,Denmark
Article,A randomized controlled trial of a smartphone app for posttraumatic stress disorder symptoms,"Objective: Posttraumatic stress disorder (PTSD) is highly prevalent in the population, but relatively few affected individuals receive treatment for it. Smartphone applications (apps) could help address this unmet need by offering sound psychoeducational information and evidence-based cognitive behavioral coping tools. We conducted a randomized controlled trial to assess the efficacy of a free, publicly available smartphone app (PTSD Coach) for self-management of PTSD symptoms. Method: One hundred 20 participants who were an average of 39 years old, mostly women (69.2\%) and White (66.7\%), recruited primarily through online advertisements, were randomized to either a PTSD Coach (n = 62) or a waitlist condition (n = 58) for 3 months. Web-administered self-report measures of PTSD, PTSD symptom coping self-efficacy, depression, and psychosocial functioning were conducted at baseline, posttreatment, and 3 months following treatment. Results: Following the intent-to-treat principle, repeated-measures analyses of variance (ANOVAs) revealed that at posttreatment, PTSD Coach participants had significantly greater improvements in PTSD symptoms (p =.035), depression symptoms (p =.005), and psychosocial functioning (p =.007) than did waitlist participants; however, at posttreatment, there were no significant mean differences in outcomes between conditions. A greater proportion of PTSD Coach participants achieved clinically significant PTSD symptom improvement (p =.018) than waitlist participants. Conclusion: PTSD Coach use resulted in significantly greater improvements in PTSD symptoms and other outcomes relative to a waitlist condition. Given the ubiquity of smartphones, PTSD Coach may provide a wide-reaching, convenient public health intervention for individuals with PTSD symptoms who are not receiving care. 2017 American Psychological Association.",Journal of Consulting and Clinical Psychology,E. Kuhn and N. Kanuri and J.E. Hoffman and D.W. Garvert and J.I. Ruzek and C.B. Taylor,2017,"adult, Article, clinical effectiveness, controlled study, depression, female, human, male, mobile application, self report, randomized controlled trial, major clinical study, disease severity, psychology, Caucasian, Adult, Female, Humans, Male, cognitive therapy, Cognitive Therapy, procedures, smartphone, Mobile Applications, patient education, Patient Education as Topic, self care, advertising, self concept, Psychological, Adaptation, coping behavior, Self Care, Smartphone, posttraumatic stress disorder, Post-Traumatic, Stress Disorders, social psychology",015 - A randomized controlled trial of a smartphone,015,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NOT KNOWN,YES,YES,YES,NA,NOT KNOWN,NO,YES,NOT KNOWN,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,PTSD Coach,"United States of America, California",7-Trauma and stressor-related disorders,7,Trauma and stressor-related disorders,NA,NA,YES,NO,NO,NO,NO,NO,NO,NO,NO,RANDOMIZED CONTROLLED TRIAL,"Following the intent-to-treat principle, repeated-measures analyses of variance (ANOVAs) revealed that at posttreatment, PTSD Coach participants
had significantly greater improvements in PTSD symptoms (p < .035), depression symptoms (p <.005), and psychosocial functioning (p < .007) than did waitlist participants; however, at posttreatment, there were no significant mean differences in outcomes between conditions. A greater proportion of
PTSD Coach participants achieved clinically significant PTSD symptom improvement (p < .018) than waitlist participants.",120,NA,"2 conditions: 1) PTSD app Coach (experimental condition; N=62), 2) waitlist condition (control condition, N=58)",YES,EFFECT,RCT,United States of America
Article,A Scenario-Based Cognitive Behavioral Therapy Mobile App to Reduce Dysfunctional Beliefs in Individuals with Depression: A Randomized Controlled Trial.,"INTRODUCTION: While self-administered mobile app-based cognitive behavioral therapy (CBT) has shown efficiency and effectiveness over the past decade, attempts to address automatic and negative beliefs have been lacking. The purpose of this study was to introduce and verify a mobile app that directly intervenes in dysfunctional thoughts. This app-based treatment includes recognizing automatic and negative thoughts of the protagonist of scenarios, writing advice directly to the main character, and sharing advice provided by other participants.; MATERIALS AND METHODS: Thirty-four participants diagnosed with Other Specified Depressive Disorder were recruited and randomly allocated to a CBT-based mobile-app program, the Todac Todac (TT group), or a daily mood chart app program (control group). Participants were asked to use the software for 3 weeks. Assessments for autonomic thoughts and clinical symptoms were administered at baseline and at a follow-up evaluation.; RESULTS: After completing the 3-week program, Dysfunctional Attitude Scale (DAS) scores in TT group were lower than they were in the control group. In clinical measures, both TT group and control group showed reduced Beck Depression Inventory-II (BDI-II) scores and situation-dependent trait version of State-Trait Anxiety Inventory (STAI-X2) at follow-up. However, TT group showed significantly reduced STAI-X2 scores compared to control group. For all participants, changes in DAS scores were correlated with BDI-II and STAI-X2 scores.; CONCLUSIONS: Our preliminary findings provide promising evidence that scenario-based CBT mobile apps can be used to deliver feasible and efficacious cognitive therapy. Long-term research is needed to determine the impact and effectiveness of this new treatment format.",Telemedicine journal and e-health : the official journal of the American Telemedicine Association,Ji-Won Hur and Boram Kim and Dasom Park and Sung-Won Choi,2018,"cognitive behavioral therapy, depression, telehealth, telepsychiatry, intervention, mobile app, e-health, m-health",020 - A Scenario-Based Cognitive Behavioral Therapy,020,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NOT KNOWN,YES,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,YES,YES,NOT KNOWN,NOT KNOWN,YES,NO,NOT KNOWN,NO,NO,NOT KNOWN,NO,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,TODAC TODAC,Republic of Korea,4-Depressive disorders,4,Depressive disorders,NA,Other specified depressive disorder (not major depression),YES,NO,NO,NO,NO,NO,NO,NO,NO,RANDOMIZED CONTROLLED TRIAL,"After completing the 3-week program, Dysfunctional
Attitude Scale (DAS) scores in TT group were lower than they
were in the control group. In clinical measures, both TT group
and control group showed reduced Beck Depression Inventory-
II (BDI-II) scores and situation-dependent trait version of
State-Trait Anxiety Inventory (STAI-X2) at follow-up. However,
TT group showed significantly reduced STAI-X2 scores
compared to control group. For all participants, changes in
DAS scores were correlated with BDI-II and STAI-X2 scores.",34,NA,"2 conditions: 1) Pogram TT app (carry out 3 step quiz after one scenario ""identigy cognitive distortions, decatastrophizing and distancing); 2) Control group (complete a daily mood diary)",YES,EFFECT,RCT,Republic of Korea
Article,A Smarter Pathway for Delivering Cue Exposure Therapy? The Design and Development of a Smartphone App Targeting Alcohol Use Disorder,"Background: Although the number of alcohol-related treatments in app stores is proliferating, none of them are based on a psychological framework and supported by empirical evidence. Cue exposure treatment (CET) with urge-specific coping skills (USCS) is often used in Danish treatment settings. It is an evidence-based psychological approach that focuses on promoting â€œconfrontation with alcohol cuesâ€ as a means of reducing urges and the likelihood of relapse. Objective: The objective of this study was to describe the design and development of a CET-based smartphone app; an innovative delivery pathway for treating alcohol use disorder (AUD). Methods: The treatment is based on Monty and coworkers' manual for CET with USCS (2002). It was created by a multidisciplinary team of psychiatrists, psychologists, programmers, and graphic designers as well as patients with AUD. A database was developed for the purpose of registering and monitoring training activities. A final version of the CET app and database was developed after several user tests. Results: The final version of the CET app includes an introduction, 4 sessions featuring USCS, 8 alcohol exposure videos promoting the use of one of the USCS, and a results component providing an overview of training activities and potential progress. Real-time urges are measured before, during, and after exposure to alcohol cues and are registered in the app together with other training activity variables. Data packages are continuously sent in encrypted form to an external database and will be merged with other data (in an internal database) in the future. Conclusions: The CET smartphone app is currently being tested at a large-scale, randomized controlled trial with the aim of clarifying whether it can be classified as an evidence-based treatment solution. The app has the potential to augment the reach of psychological treatment for AUD.",JMIR MHEALTH AND UHEALTH,Angelina Isabella Mellentin and Elsebeth Stenager and Bent Nielsen and Anette Sogaard Nielsen and Fei Yu,2017,"mobile application, smartphone, exposure therapy, alcohol use disorder",021 - A Smarter Pathway for Delivering Cue,021,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,YES,NOT KNOWN,YES,NOT KNOWN,YES,YES,NO,YES,YES,NOT KNOWN,NO,NOT KNOWN,NO,NO,YES,NO,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,CET Application,Denmark,16-Substance-related and addictive disorders,16,Substance-related and addictive disorders,NA,Alcohol use disorder,YES,NO,NO,NO,NO,NO,NO,NO,NO,QUALITATIVE STUDY,NA,2,2 patient focus groups (2xn=5),Intervention condition (experimental); There is not any control group.,NO,NO ASSESSMENT,NO,Denmark
Article,A Smartphone App (BlueIce) for Young People Who Self-Harm: Open Phase 1 Pre-Post Trial.,"BACKGROUND: Recent years have seen a significant increase in the availability of smartphone apps for mental health problems. Despite their proliferation, few apps have been specifically developed for young people, and almost none have been subject to any form of evaluation.; OBJECTIVE: This study aimed to undertake a preliminary evaluation of a smartphone app (BlueIce), coproduced with young people and designed to help young people manage distress and urges to self-harm. We aimed to assess the acceptability, safety, and use of BlueIce and to explore the effects on the primary outcome of self-harm and the secondary outcomes of psychological functioning.; METHODS: We undertook an open trial where we recruited young people aged 12 to 17 years attending specialist child and adolescent mental health services (CAMHS) who were currently self-harming or had a history of self-harm. Eligible participants were assessed at baseline and then given BlueIce. They were assessed 2 weeks later (post familiarization) and again at 12 weeks (post use). A behavior-screening questionnaire (Strengths and Difficulties Questionnaire) was completed along with standardized measures of depression (Mood and Feelings Questionnaire or MFQ) and anxiety (Revised Child Anxiety and Depression Scale or RCADS), taking into account self-reports of self-harm, app helpfulness, and safety.; RESULTS: All core CAMHS professional groups referred at least 1 young person. Out of 40 young people recruited, 37 (93\%) elected to use BlueIce after familiarization, with 29 out of 33 (88\%) wanting to keep it at the end of the study. No young person called the emergency numbers during the 12-week trial, and no one was withdrawn by his or her clinician due to increased risk of suicide. Almost three-quarters (73\%) of those who had recently self-harmed reported reductions in self-harm after using BlueIce for 12 weeks. There was a statistically significant mean difference of 4.91 (t31=2.11; P=.04; 95\% CI 0.17-9.64) on postuse symptoms of depression (MFQ) and 13.53 on symptoms of anxiety (RCADS) (t30=3.76; P=.001; 95\% CI 6.17-20.90), which was evident across all anxiety subscales. Ratings of app acceptability and usefulness were high.; CONCLUSIONS: Our study has a number of methodological limitations, particularly the absence of a comparison group and a prospective way of assessing self-harm. Nonetheless, our findings are encouraging and suggest that BlueIce, used alongside a traditional CAMHS face-to-face intervention, can help young people manage their emotional distress and urges to self-harm.",JMIR mHealth and uHealth,Paul Stallard and Joanna Porter and Rebecca Grist,2018,"cognitive behavioral therapy, mHealth, smartphone, adolescents, mobile apps, BlueIce, self-injury",022 - A Smartphone App (BlueIce) for Young People,022,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,YES,YES,NA,NOT KNOWN,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,Blue Ice,United Kingdom,25-Suicidal behavior disorder/nonsuicidal self-injury,25,Suicidal behavior disorder/nonsuicidal self-injury,NA,Self-harm,YES,NO,NO,NO,YES,NO,NO,NO,NO,OPEN UNCONTROLLED TRIAL,"Almost three-quarters (73%) of those who had recently self-harmed reported reductions in self-harm after using BlueIce
for 12 weeks. There was a statistically significant mean difference of 4.91 (t31=2.11; P=.04; 95% CI 0.17-9.64) on postuse symptoms of depression (MFQ) and 13.53 on symptoms of anxiety (RCADS) (t30=3.76; P=.001; 95% CI 6.17-20.90), which was evident across all anxiety subscales. Ratings of app acceptability and usefulness were high.",44,NA,Intervention condition (experimental); There is not any control group.,YES,EFFECT AND USABILITY/UX,NO,United Kingdom
InProceedings,A smartphone-based personalized activity recommender system for patients with depression,"Depression is a common mental illness worldwide. Apart of pharmacological treatment and psychotherapy, self-management of negative emotions is of paramount importance, because relapse of depression often results from an inadequate response to negative emotions. The purpose of this study is to design and implement a personal recommender system, for emotion regulation. It assists users to be aware of negative emotions and guides them to deal with it with behavioral activation. It analyzes the smartphone usage patterns to predict the emergence of negative emotions, while integrating data obtained from context awareness and psychiatrists' recommendations to suggest relevant emotion-regulating activities. The presented system has a potential to provide personalized and pervasive mental health services for patients with depression. Copyright 2015 ICST.",NA,G.C-L. Hung and P.-C. Yang and C.-Y. Wang and J.-H. Chiang,2015,"Diseases, mHealth, Mobile telecommunication systems, Health care, Smartphones, Context-Aware, Depression, Wireless telecommunication systems, Recommender systems, Emotion, Recommender, Usage patterns",023 - A Smartphone-Based Personalized Activity,023,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NOT KNOWN,YES,YES,NOT KNOWN,NOT KNOWN,NOT KNOWN,NO,NOT KNOWN,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NOT KNOWN,NO,YES,NA,United Kingdom,4-Depressive disorders,4,Depressive disorders,NA,NA,YES,NO,NO,NO,YES,NO,NO,NO,NO,PILOT STUDY,"It is verified that our proposed recommender system was able to provide useful suggestions, which indeed alleviated users' negative emotions.",15,15 normal subjects (although they mention they would like to apply it to in 30 outpatients with depression).,Intervention condition (experimental); There is not any control group.,YES,EFFECT AND USABILITY/UX,NO,United Kingdom
Article,A study protocol for a non-randomised comparison trial evaluating the feasibility and effectiveness of a mobile cognitive-behavioural programme with integrated coaching for anxious adults in primary care.,"INTRODUCTION: Generalised anxiety disorder (GAD) and subclinical GAD are highly prevalent in primary care. Unmanaged anxiety worsens quality of life in patients seen in primary care practices and leads to increased medical utilisation and costs. Programmes that teach patients cognitive-behavioural therapy (CBT) techniques have been shown to improve anxiety and to prevent the evolution of anxiety symptoms to disorders, but access and engagement have hampered integration of CBT into medical settings.; METHODS AND ANALYSIS: This pragmatic study takes place in University of Pittsburgh Medical Center primary care practices to evaluate a coach-supported mobile cognitive- behavioural programme (Lantern) on anxiety symptoms and quality of life. Clinics were non-randomly assigned to either enhanced treatment as usual or Lantern. All clinics provide electronic screening for anxiety and, within clinics assigned to Lantern, patients meeting a threshold level of mild anxiety (ie, {\textbackslash}textgreater5 on Generalised Anxiety Disorder 7-Item Questionnaire (GAD-7)) are referred to Lantern. The first study phase is aimed at establishing feasibility, acceptability and effectiveness. The second phase focuses on long-term impact on psychosocial outcomes, healthcare utilisation and clinic/provider adoption/sustainable implementation using a propensity score matched parallel group study design. Primary outcomes are changes in anxiety symptoms (GAD-7) and quality of life (Short-Form Health Survey) between baseline and 6-month follow-ups, comparing control and intervention. Secondary outcomes include provider and patient satisfaction, patient engagement, durability of changes in anxiety symptoms and quality of life over 12 months and the impact of Lantern on healthcare utilisation over 12 months. Patients from control sites will be matched to the patients who use the mobile app.; ETHICS AND DISSEMINATION: Ethics and human subject research approval were obtained. A data safety monitoring board is overseeing trial data and ethics. Results will be communicated to participating primary care practices, published and presented at clinical and scientific conferences.; TRIAL REGISTRATION NUMBER: NCT03035019. Article author(s) (or their employer(s) unless otherwise stated in the text of the article) 2018. All rights reserved. No commercial use is permitted unless otherwise expressly granted.",BMJ open,Eva Szigethy and Francis Solano and Meredith Wallace and Dina L. Perry and Lauren Morrell and Kathryn Scott and Megan Jones Bell and Megan Oser,2018,"anxiety, quality of life, digital health, primary care, mhealth, cognitive behavioural",025 - A study protocol for a non-randomised,025,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NO,NO,NO,YES,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,YES,NOT KNOWN,YES,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,YES,NOT KNOWN,NOT KNOWN,YES,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,NOT KNOWN,Lantern,United States of America,5-Anxiety disorders,5,Anxiety disorders,NA,NA,YES,NO,NO,NO,NO,NO,NO,NO,NO,STUDY PROTOCOL FOR A NON-RANDOMISED COMPARISON TRIAL,NA,NA,Not known,1. Control group; 2. Mobile cognitive-behavioral programme with intetrated coaching condition.,NO,NO ASSESSMENT,NO,United States of America
